DAUID,revenu_median,Nombre_ménages_faible_revenu,Pourcentage_population_active_15_64_ans,nombre_pop_total
"24660863",45600,10,66,756
"24660806",101000,10,62,549
"24660862",46400,20,64,492
"24660864",49200,10,57,876
"24660835",43600,15,69,737
"24660861",42000,15,67,887
"24660802",101000,5,64,614
"24660860",56400,5,57,756
"24660836",64500,5,61,515
"24660858",98000,5,57,476
"24660859",53200,5,65,746
"24660799",92000,5,55,557
"24660856",55200,15,64,824
"24660857",120000,5,59,643
"24660800",82000,0,55,582
"24660798",89000,0,50,602
"24660797",70500,0,60,879
"24660853",47200,25,40,797
"24660855",150000,0,58,493
"24660854",134000,5,56,834
"24663288",95000,10,53,749
"24663280",36400,55,39,1052
"24663279",50000,45,57,2054
"24660794",52800,35,49,1164
"24660849",57200,10,67,584
"24660851",109000,10,61,525
"24660785",216000,0,62,548
"24662436",184000,0,58,292
"24660787",124000,0,52,374
"24660788",69500,20,43,863
"24662442",56400,15,61,948
"24663259",65000,30,34,1115
"24662435",108000,5,56,717
"24663413",62800,25,53,1433
"24660786",180000,0,57,447
"24662439",56400,20,34,635
"24663412",67000,10,34,659
"24662440",58400,15,47,815
"24660783",110000,10,63,524
"24663456",,,,5
"24660868",71500,5,66,606
"24660837",71500,10,65,691
"24660745",64500,5,66,470
"24663428",107000,5,61,662
"24660866",59600,5,65,895
"24660838",65000,5,64,706
"24660839",58400,5,64,714
"24660746",92000,5,58,568
"24660865",55600,10,68,1062
"24663426",51200,10,68,441
"24660840",47600,55,39,688
"24660841",52400,10,69,655
"24660869",48400,5,71,303
"24660744",56400,10,69,1117
"24660748",59200,5,66,635
"24660749",40000,20,75,823
"24660843",65500,0,66,289
"24660844",48800,0,65,511
"24660842",50800,15,65,759
"24660750",65500,5,66,625
"24660845",45600,10,74,517
"24660752",44800,10,66,471
"24660848",37600,15,70,466
"24660850",36400,30,22,402
"24660846",61600,10,63,634
"24660751",51200,10,67,613
"24660847",42800,15,68,615
"24663215",54000,15,73,802
"24663209",91000,5,61,608
"24660763",44000,10,66,568
"24660765",54800,0,59,653
"24660635",50000,10,68,814
"24660852",50000,5,65,537
"24660764",42800,10,70,741
"24660766",52000,5,49,543
"24660634",99000,0,63,679
"24660767",112000,5,65,485
"24660633",54800,20,65,623
"24660768",112000,5,60,551
"24660769",116000,0,66,688
"24660632",78000,10,70,475
"24660770",194000,5,63,469
"24660630",130000,0,62,505
"24660631",71000,10,64,751
"24663205",50800,15,75,536
"24663203",54400,15,61,759
"24663202",64500,5,69,809
"24660771",139000,5,62,723
"24663210",70000,5,68,516
"24663204",72500,5,64,368
"24660753",25000,90,40,503
"24660754",79000,0,67,581
"24660757",68000,5,69,626
"24660637",60000,5,68,573
"24660758",43200,45,58,437
"24660638",86000,0,64,407
"24660639",82000,5,66,482
"24660608",60800,15,66,1372
"24660784",157000,5,62,507
"24660772",65000,5,64,522
"24660781",149000,5,64,481
"24660773",71000,10,70,527
"24660779",66500,5,58,621
"24660774",48000,10,75,747
"24660780",68000,5,64,587
"24663431",68500,10,32,533
"24660775",38800,45,68,729
"24663432",130000,5,66,581
"24660776",68000,5,61,642
"24660777",76500,0,61,411
"24660619",73500,0,60,531
"24660613",59200,20,71,1330
"24660627",80000,0,66,472
"24660626",75500,5,65,479
"24663200",54000,10,73,393
"24660625",25400,65,72,640
"24663199",55600,5,76,481
"24663198",54800,5,73,519
"24663197",76000,5,67,460
"24663196",61200,15,73,409
"24663195",65500,0,74,342
"24660624",40000,30,70,523
"24660623",,,34,178
"24660778",61600,10,70,494
"24660622",26600,115,56,703
"24660659",59200,5,65,602
"24663194",49200,5,76,539
"24660663",56000,5,75,519
"24660664",35200,80,63,1011
"24660660",59200,10,70,541
"24660661",52000,5,76,798
"24660662",76000,0,65,256
"24660621",48400,10,76,353
"24660620",72500,5,71,416
"24660665",53200,15,67,514
"24660687",62000,15,52,897
"24660629",50400,15,42,815
"24660628",70500,5,64,609
"24663201",58000,5,68,400
"24662672",46400,5,65,579
"24662673",52400,10,61,754
"24662709",50800,5,71,473
"24661597",216000,0,63,490
"24661598",135000,5,61,467
"24663351",56800,10,79,489
"24660485",60000,0,64,470
"24660484",55600,15,68,697
"24660482",61200,10,67,586
"24660481",54000,5,63,427
"24660483",53600,0,64,461
"24660490",50800,10,69,557
"24660489",46800,10,67,548
"24660491",42000,45,65,592
"24662612",54000,5,77,480
"24660493",58000,5,76,504
"24662613",57200,5,69,484
"24660497",44400,10,74,565
"24660494",62400,0,69,642
"24662614",55600,5,73,394
